Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
ACLBSL,845.00,-0.94,868.00,837.00,853.00,905,,
ADBL,312.10,-3.67,320.00,308.00,317.60,"126,466",,
ADBLD83,886.00,-1.51,886.00,885.10,885.20,75,,
ADLB,933.00,10,933.00,865.10,865.10,50,,
AHPC,343.00,-2.56,357.00,342.10,356.90,"160,996",,
AIL,492.20,-2.32,512.00,486.00,512.00,"7,816",,
AKBSL,"1,280.20",0.53,"1,306.10","1,249.30","1,249.30","2,444",,
AKJCL,233.00,-3.72,244.00,231.40,238.50,"78,003",,
AKPL,413.00,-1.9,426.10,410.00,425.00,"71,364",,
ALBSL,"1,033.90",-1.63,"1,055.00","1,030.00","1,030.00","1,556",,
ALICL,704.00,-1.54,729.30,700.00,729.30,"36,068",,
API,292.50,-3.43,306.00,290.30,304.00,"374,466",,
AVYAN,750.00,-0.66,775.00,745.10,751.00,"3,363",,
BARUN,269.80,-3.99,286.00,269.00,286.00,"50,269",,
BBC,"3,488.20",-1.74,"3,600.00","3,488.00","3,520.00",320,,
BFC,354.00,-2.75,366.00,353.50,364.00,"12,056",,
BHDC,405.00,-3.8,427.00,402.10,415.00,"7,480",,
BHL,314.00,-5.65,338.00,312.80,332.80,"16,873",,
BHPL,412.00,-1.69,420.00,405.00,410.80,"11,120",,
BNHC,426.00,0.69,436.00,419.00,426.00,"8,416",,
BNT,"12,975.00",-0.95,"13,230.00","12,975.00","13,230.00",50,,
BOKD86,751.00,-3.1,760.00,750.00,760.00,250,,
BPCL,326.40,-2.28,340.60,326.40,340.60,"11,321",,
CBBL,"1,200.00",-2.12,"1,233.00","1,198.60","1,226.00","15,942",,
CBL,233.00,-0.04,236.90,232.90,235.00,"60,806",,
CCBD88,846.20,-0.33,846.20,846.10,846.10,25,,
CFCL,354.00,-1.67,367.00,353.00,360.00,"17,121",,
CGH,"1,312.10",-4.44,"1,366.00","1,310.00","1,350.00","8,202",,
CHCL,418.00,-0.48,425.00,416.20,424.90,"23,388",,
CHDC,770.00,2.6,787.00,743.00,750.50,"38,255",,
CHL,301.00,-3.83,319.00,298.00,319.00,"14,125",,
CIT,"2,132.00",0.09,"2,155.00","2,121.00","2,130.00","12,123",,
CLBSL,987.00,-1.19,"1,018.00",987.00,"1,014.90","8,368",,
CMF1,9.00,0.11,9.00,8.80,8.82,"25,739",,
CMF2,9.11,5.93,9.29,8.50,8.50,"11,850",,
CORBL,331.90,-3.71,345.50,331.80,345.50,"7,552",,
CYCL,"1,900.00",-0.78,"1,921.00","1,890.00","1,920.00","2,326",,
CZBIL,201.00,-2.14,205.00,200.10,205.00,"56,437",,
DDBL,985.00,0.41,998.90,978.00,998.90,"7,123",,
DHPL,237.20,-3.18,249.90,237.00,249.90,"12,072",,
DLBS,"1,346.00",-1.03,"1,387.30","1,335.00","1,335.00","2,469",,
DORDI,294.00,-2.97,309.00,290.30,307.00,"21,749",,
EBL,538.00,3.86,547.90,528.30,528.30,"185,572",,
EBLD86,725.00,-0.96,725.00,725.00,725.00,94,,
EDBL,357.90,-2.98,366.00,357.70,365.00,"25,051",,
EHPL,399.00,-1.48,413.00,391.20,413.00,"2,210",,
ENL,703.00,0.29,725.00,690.00,690.00,"2,617",,
FMDBL,677.20,-1.15,698.80,655.00,698.80,"20,106",,
FOWAD,"1,906.20",0.06,"1,930.00","1,900.00","1,906.00","4,972",,
GBBL,377.00,-2.08,388.00,375.20,386.00,"29,987",,
GBILD86/87,750.00,-1.45,750.00,750.00,750.00,25,,
GBLBS,640.00,-4.05,679.00,640.00,665.00,"15,691",,
GFCL,505.00,0.4,520.20,501.00,501.00,"20,223",,
GHL,275.00,-3.85,289.00,271.00,288.00,"69,792",,
GIBF1,8.69,-0.23,8.69,8.40,8.54,"1,200",,
GILB,"1,165.10",-2.91,"1,205.00","1,164.60","1,186.00","4,838",,
GIMES1,9.99,0.91,10.00,9.86,9.86,"90,629",,
GLBSL,865.00,-0.92,865.00,838.60,861.00,339,,
GLH,310.00,-0.64,315.00,300.00,312.00,"9,731",,
GMFBS,910.00,-3.65,963.00,907.10,963.00,"1,843",,
GMFIL,363.00,-1.89,382.50,360.00,367.00,"28,981",,
GRDBL,283.00,-1.05,291.70,277.40,291.70,"10,233",,
GUFL,585.00,-0.17,620.00,583.10,597.70,"51,017",,
GVL,459.00,-5.94,497.70,459.00,488.00,"96,935",,
HBL,313.50,2.45,331.00,307.00,312.10,"25,499",,
HDHPC,240.00,-4,255.00,238.10,255.00,"196,625",,
HDL,"2,678.00",-0.59,"2,720.00","2,675.00","2,719.00","20,820",,
HEI,444.90,-0.91,457.80,440.00,452.00,"40,450",,
HEIP,289.50,-4.42,296.90,274.80,296.90,"5,030",,
HHL,292.50,-7.79,322.00,292.30,322.00,"64,224",,
HIDCL,215.40,-2.53,224.00,214.00,224.00,"165,290",,
HIDCLP,115.80,-1.7,120.70,113.00,119.00,"216,787",,
HPPL,325.00,-0.61,330.00,313.40,330.00,"34,843",,
HURJA,399.00,-2.97,411.00,396.00,403.00,"67,492",,
ICFC,472.20,-2.84,495.00,472.20,482.70,"28,562",,
IGI,472.00,-3.08,495.90,471.00,494.00,"24,339",,
ILBS,995.00,-1.2,"1,022.00",993.00,"1,000.00","4,012",,
